Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
2007-03-11;10:10:00;2.554;0.0;238.76;10.6;0.0;0.0;0.0
2007-03-11;10:11:00;2.554;0.0;239.07;10.6;0.0;0.0;0.0
2007-03-11;10:12:00;2.572;0.0;240.21;10.6;0.0;0.0;0.0
2007-03-11;10:13:00;0.522;0.052;241.74;2.4;0.0;0.0;0.0
2007-03-11;10:14:00;0.502;0.05;241.15;2.2;0.0;0.0;0.0
2007-03-11;10:15:00;0.504;0.054;242.16;2.2;0.0;0.0;0.0
2007-03-11;10:16:00;0.502;0.054;242.22;2.2;0.0;0.0;0.0
2007-03-11;10:17:00;0.502;0.058;242.59;2.2;0.0;0.0;0.0
2007-03-11;10:18:00;0.442;0.0;241.94;2.0;0.0;0.0;0.0
2007-03-11;10:19:00;0.436;0.0;243.19;2.0;0.0;0.0;0.0
2007-03-11;10:20:00;0.434;0.0;242.71;2.0;0.0;0.0;0.0
2007-03-11;10:21:00;0.436;0.0;242.77;2.0;0.0;0.0;0.0
2007-03-11;10:22:00;0.432;0.0;241.67;2.0;0.0;0.0;0.0
2007-03-11;10:23:00;0.434;0.0;242.13;2.0;0.0;0.0;0.0
2007-03-11;10:24:00;0.434;0.0;242.26;2.0;0.0;0.0;0.0
2007-03-11;10:25:00;0.43;0.0;241.45;2.0;0.0;0.0;0.0
2007-03-11;10:26:00;0.558;0.05;240.36;2.6;0.0;0.0;0.0
2007-03-11;10:27:00;0.564;0.048;240.91;2.6;0.0;0.0;0.0
2007-03-11;10:28:00;0.446;0.0;242.11;2.0;0.0;0.0;0.0
2007-03-11;10:29:00;0.448;0.0;242.26;2.0;0.0;0.0;0.0
2007-03-11;10:30:00;0.442;0.0;241.97;2.0;0.0;0.0;0.0
2007-03-11;10:31:00;0.44;0.0;241.65;2.0;0.0;0.0;0.0
2007-03-11;10:32:00;0.432;0.0;241.81;2.0;0.0;0.0;0.0
2007-03-11;10:33:00;0.614;0.058;242.45;2.8;0.0;0.0;0.0
2007-03-11;10:34:00;0.726;0.084;241.73;3.2;0.0;0.0;0.0
2007-03-11;10:35:00;1.01;0.192;240.47;4.8;0.0;0.0;0.0
2007-03-11;10:36:00;0.572;0.102;242.41;2.6;0.0;0.0;0.0
2007-03-11;10:37:00;1.34;0.088;242.55;6.2;0.0;0.0;0.0
2007-03-11;10:38:00;1.374;0.106;241.96;6.2;0.0;0.0;0.0
2007-03-11;10:39:00;1.666;0.11;241.09;7.2;0.0;0.0;5.0
2007-03-11;10:40:00;1.652;0.084;241.48;6.8;0.0;0.0;18.0
2007-03-11;10:41:00;1.638;0.084;241.52;6.8;0.0;0.0;19.0
2007-03-11;10:42:00;1.632;0.086;242.08;6.8;0.0;0.0;18.0
2007-03-11;10:43:00;1.598;0.08;240.52;6.6;0.0;0.0;18.0
2007-03-11;10:44:00;1.598;0.08;241.11;6.6;0.0;0.0;18.0
2007-03-11;10:45:00;1.608;0.086;242.21;6.6;0.0;0.0;18.0
2007-03-11;10:46:00;1.606;0.086;242.34;6.6;0.0;0.0;18.0
2007-03-11;10:47:00;1.57;0.0;242.11;6.4;0.0;0.0;18.0
2007-03-11;10:48:00;1.52;0.058;241.11;6.4;0.0;0.0;18.0
2007-03-11;10:49:00;1.54;0.056;242.07;6.4;0.0;0.0;18.0
2007-03-11;10:50:00;1.59;0.0;242.15;6.6;0.0;0.0;18.0
2007-03-11;10:51:00;1.614;0.048;242.22;6.6;0.0;0.0;18.0
2007-03-11;10:52:00;1.588;0.0;239.85;6.6;0.0;0.0;17.0
2007-03-11;10:53:00;1.606;0.046;241.57;6.6;0.0;0.0;18.0
2007-03-11;10:54:00;1.616;0.048;242.44;6.6;0.0;0.0;18.0
2007-03-11;10:55:00;1.616;0.048;242.4;6.6;0.0;0.0;18.0
2007-03-11;10:56:00;1.594;0.0;240.93;6.6;0.0;0.0;18.0
2007-03-11;10:57:00;1.596;0.0;241.43;6.6;0.0;0.0;18.0
2007-03-11;10:58:00;1.6;0.0;241.86;6.6;0.0;0.0;18.0
2007-03-11;10:59:00;1.602;0.0;241.7;6.6;0.0;0.0;18.0
2007-03-11;11:00:00;1.594;0.0;241.39;6.6;0.0;0.0;17.0
2007-03-11;11:01:00;1.586;0.0;240.55;6.6;0.0;0.0;18.0
2007-03-11;11:02:00;1.59;0.0;240.93;6.6;0.0;0.0;18.0
2007-03-11;11:03:00;1.638;0.0;242.14;6.8;0.0;0.0;18.0
2007-03-11;11:04:00;1.546;0.062;241.22;6.4;0.0;0.0;18.0
2007-03-11;11:05:00;1.508;0.066;239.63;6.4;0.0;0.0;17.0
2007-03-11;11:06:00;1.516;0.064;240.22;6.4;0.0;0.0;18.0
2007-03-11;11:07:00;1.518;0.062;240.61;6.4;0.0;0.0;18.0
2007-03-11;11:08:00;1.518;0.062;240.57;6.4;0.0;0.0;18.0
2007-03-11;11:09:00;1.514;0.064;240.22;6.4;0.0;0.0;17.0
2007-03-11;11:10:00;1.51;0.064;239.87;6.4;0.0;0.0;18.0
2007-03-11;11:11:00;1.608;0.05;238.62;6.8;0.0;0.0;17.0
2007-03-11;11:12:00;1.606;0.06;238.76;6.8;0.0;0.0;18.0
2007-03-11;11:13:00;1.244;0.064;238.8;5.6;0.0;0.0;12.0
2007-03-11;11:14:00;0.548;0.072;239.13;2.4;0.0;0.0;0.0
2007-03-11;11:15:00;0.548;0.074;239.93;2.4;0.0;0.0;0.0
2007-03-11;11:16:00;0.548;0.076;240.57;2.4;0.0;0.0;0.0
