step,mae,rmse,mape,directional_accuracy,peak_accuracy,forecast_bias,theil_u,pearson_correlation,spearman_correlation
1,0.24961582,0.49923065,6858.8134765625,0.8182844243792325,1.0,-0.01794644,0.4907045,0.7447299581954774,0.8196374842623624
2,0.24136402,0.47660172,7114.3768310546875,0.8227990970654627,1.0,-0.017423281,0.46942976,0.7640751009159515,0.8297209598734946
3,0.2354141,0.45626605,6769.8486328125,0.8289261528539181,1.0,-0.025639055,0.45496812,0.7777527730218395,0.8381238666362646
4,0.24140894,0.4580351,6999.469757080078,0.8265075782005804,1.0,-0.026061436,0.45955533,0.7728256082931848,0.83775246360418
5,0.24710302,0.4567374,6467.9229736328125,0.8203805224121251,1.0,-0.032929406,0.4606531,0.7705614347925802,0.831028990012157
6,0.25440156,0.4662266,6401.146697998047,0.819090615930345,1.0,-0.034780722,0.46339324,0.7639572126007791,0.8238389659844745
7,0.25947267,0.4660239,6246.8414306640625,0.8137697516930023,1.0,-0.033299945,0.46256158,0.764434064672692,0.8176423843401243
8,0.26062125,0.4666309,5988.324356079102,0.8134472750725572,1.0,-0.030694509,0.46494913,0.7616055221284338,0.8133153287402651
9,0.2593737,0.4639128,5640.299987792969,0.8152208964850048,1.0,-0.028636046,0.46242318,0.76760646773251,0.8181685135816311
10,0.25742987,0.46384028,6587.440490722656,0.8136085133827797,1.0,-0.023108874,0.4689042,0.7646853507903789,0.8213267258028302
11,0.2527373,0.46073276,6425.140380859375,0.8142534666236698,1.0,-0.022322394,0.46216208,0.7697583284553225,0.8268022584307626
12,0.25104707,0.4567724,6396.801376342773,0.8139309900032248,1.0,-0.020509264,0.46056765,0.7737377084847976,0.8283964772492143
